Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"Reverse Fly (Cable)",3,7.0,20,0,0,,,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"Triceps Extension (Cable)",1,10.0,20,0,0,"",,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"Triceps Extension (Cable)",2,10.0,20,0,0,,,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"Triceps Extension (Cable)",3,10.0,20,0,0,,,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"Incline Curl (Dumbbell)",1,10.0,20,0,0,"",,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"Incline Curl (Dumbbell)",2,10.0,20,0,0,,,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"Incline Curl (Dumbbell)",3,10.0,20,0,0,,,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"Triceps Pushdown (Cable - Straight Bar)",1,50.0,20,0,0,"",,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"Triceps Pushdown (Cable - Straight Bar)",2,50.0,20,0,0,,,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"Triceps Pushdown (Cable - Straight Bar)",3,50.0,20,0,0,,,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"Hammer Curl (Dumbbell)",1,15.0,19,0,0,"",,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"Hammer Curl (Dumbbell)",2,15.0,17,0,0,,,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"Hammer Curl (Dumbbell)",3,15.0,16,0,0,,,
2023-07-08 22:11:11,"Back And Biceps",1h 16m,"AS Iso-Lateral Lat Pull-down ",1,30.0,10,0,0,"","Always perform on Saturdays",
2023-07-08 22:11:11,"Back And Biceps",1h 16m,"AS Iso-Lateral Lat Pull-down ",2,30.0,10,0,0,,,
2023-07-08 22:11:11,"Back And Biceps",1h 16m,"AS Iso-Lateral Lat Pull-down ",3,30.0,10,0,0,,,
2023-07-08 22:11:11,"Back And Biceps",1h 16m,"AS Chest-Supported T-Bar Row",1,60.0,15,0,0,"",,
2023-07-08 22:11:11,"Back And Biceps",1h 16m,"AS Chest-Supported T-Bar Row",2,60.0,15,0,0,,,
2023-07-08 22:11:11,"Back And Biceps",1h 16m,"AS Chest-Supported T-Bar Row",3,60.0,15,0,0,,,
2023-07-08 22:11:11,"Back And Biceps",1h 16m,"Incline Curl (Dumbbell)",1,12.0,17,0,0,"",,
2023-07-08 22:11:11,"Back And Biceps",1h 16m,"Incline Curl (Dumbbell)",2,12.0,16,0,0,,,
2023-07-08 22:11:11,"Back And Biceps",1h 16m,"Incline Curl (Dumbbell)",3,12.0,16,0,0,,,
2023-07-08 22:11:11,"Back And Biceps",1h 16m,"Reverse Fly (Cable)",1,10.0,20,0,0,"",,
2023-07-08 22:11:11,"Back And Biceps",1h 16m,"Reverse Fly (Cable)",2,10.0,18,0,0,,,
2023-07-08 22:11:11,"Back And Biceps",1h 16m,"Reverse Fly (Cable)",3,10.0,15,0,0,,,
2023-07-08 22:11:11,"Back And Biceps",1h 16m,"Hammer Curl (Dumbbell)",1,20.0,10,0,0,"",,
2023-07-08 22:11:11,"Back And Biceps",1h 16m,"Hammer Curl (Dumbbell)",2,20.0,7,0,0,,,
2023-07-08 22:11:11,"Back And Biceps",1h 16m,"Hammer Curl (Dumbbell)",3,20.0,5,0,0,,,
2023-07-09 19:48:29,"Chest And Triceps",1h 27m,"Bench Press (Barbell)",1,90.0,5,0,0,"","Always perform on Sundays",
2023-07-09 19:48:29,"Chest And Triceps",1h 27m,"Bench Press (Barbell)",2,90.0,4,0,0,,,
2023-07-09 19:48:29,"Chest And Triceps",1h 27m,"Bench Press (Barbell)",3,90.0,4,0,0,,,
2023-07-09 19:48:29,"Chest And Triceps",1h 27m,"AS Iso-Lateral Incline Chest Press",1,35.0,15,0,0,"",,
2023-07-09 19:48:29,"Chest And Triceps",1h 27m,"AS Iso-Lateral Incline Chest Press",2,35.0,15,0,0,,,
2023-07-09 19:48:29,"Chest And Triceps",1h 27m,"AS Iso-Lateral Incline Chest Press",3,35.0,13,0,0,,,
2023-07-09 19:48:29,"Chest And Triceps",1h 27m,"AS Selectorized Standing Lateral Raises",1,20.0,11,0,0,"",,
2023-07-09 19:48:29,"Chest And Triceps",1h 27m,"AS Selectorized Standing Lateral Raises",2,20.0,10,0,0,,,
2023-07-09 19:48:29,"Chest And Triceps",1h 27m,"AS Selectorized Standing Lateral Raises",3,20.0,9,0,0,,,
2023-07-09 19:48:29,"Chest And Triceps",1h 27m,"Triceps Extension (Cable)",1,15.0,20,0,0,"",,
2023-07-09 19:48:29,"Chest And Triceps",1h 27m,"Triceps Extension (Cable)",2,15.0,20,0,0,,,
2023-07-09 19:48:29,"Chest And Triceps",1h 27m,"Triceps Extension (Cable)",3,15.0,20,0,0,,,
2023-07-09 19:48:29,"Chest And Triceps",1h 27m,"Triceps Pushdown (Cable - Straight Bar)",1,55.0,20,0,0,"",,
2023-07-09 19:48:29,"Chest And Triceps",1h 27m,"Triceps Pushdown (Cable - Straight Bar)",2,55.0,20,0,0,,,
2023-07-09 19:48:29,"Chest And Triceps",1h 27m,"Triceps Pushdown (Cable - Straight Bar)",3,55.0,20,0,0,,,
